"Province","area","date_lottery","name_prize","result","created_at","updated_at","created_by","updated_by"
"V?nh Long","L: 45VL49","20241206","giai8","56","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"V?nh Long","L: 45VL49","20241206","giai7","695","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"V?nh Long","L: 45VL49","20241206","giai6","4466","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"V?nh Long","L: 45VL49","20241206","giai6","2212","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"V?nh Long","L: 45VL49","20241206","giai6","4408","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"V?nh Long","L: 45VL49","20241206","giai5","5866","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"V?nh Long","L: 45VL49","20241206","giai4","34121","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"V?nh Long","L: 45VL49","20241206","giai4","57777","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"V?nh Long","L: 45VL49","20241206","giai4","18321","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"V?nh Long","L: 45VL49","20241206","giai4","84025","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"V?nh Long","L: 45VL49","20241206","giai4","18166","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"V?nh Long","L: 45VL49","20241206","giai4","30579","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"V?nh Long","L: 45VL49","20241206","giai4","86337","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"V?nh Long","L: 45VL49","20241206","giai3","82337","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"V?nh Long","L: 45VL49","20241206","giai3","82356","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"V?nh Long","L: 45VL49","20241206","giai2","88133","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"V?nh Long","L: 45VL49","20241206","giai1","94501","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"V?nh Long","L: 45VL49","20241206","giaidb","585338","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Bình D??ng","L: 12K49","20241206","giai8","74","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Bình D??ng","L: 12K49","20241206","giai7","582","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Bình D??ng","L: 12K49","20241206","giai6","0236","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Bình D??ng","L: 12K49","20241206","giai6","7415","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Bình D??ng","L: 12K49","20241206","giai6","3647","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Bình D??ng","L: 12K49","20241206","giai5","7323","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Bình D??ng","L: 12K49","20241206","giai4","72035","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Bình D??ng","L: 12K49","20241206","giai4","03233","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Bình D??ng","L: 12K49","20241206","giai4","46956","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Bình D??ng","L: 12K49","20241206","giai4","38797","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Bình D??ng","L: 12K49","20241206","giai4","07683","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Bình D??ng","L: 12K49","20241206","giai4","26362","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Bình D??ng","L: 12K49","20241206","giai4","27189","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Bình D??ng","L: 12K49","20241206","giai3","88646","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Bình D??ng","L: 12K49","20241206","giai3","88785","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Bình D??ng","L: 12K49","20241206","giai2","44676","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Bình D??ng","L: 12K49","20241206","giai1","16213","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Bình D??ng","L: 12K49","20241206","giaidb","664632","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Trà Vinh","L: 33TV49","20241206","giai8","31","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Trà Vinh","L: 33TV49","20241206","giai7","701","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Trà Vinh","L: 33TV49","20241206","giai6","5848","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Trà Vinh","L: 33TV49","20241206","giai6","3068","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Trà Vinh","L: 33TV49","20241206","giai6","2009","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Trà Vinh","L: 33TV49","20241206","giai5","4783","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Trà Vinh","L: 33TV49","20241206","giai4","97711","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Trà Vinh","L: 33TV49","20241206","giai4","65675","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Trà Vinh","L: 33TV49","20241206","giai4","64373","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Trà Vinh","L: 33TV49","20241206","giai4","84881","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Trà Vinh","L: 33TV49","20241206","giai4","15112","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Trà Vinh","L: 33TV49","20241206","giai4","58386","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Trà Vinh","L: 33TV49","20241206","giai4","81514","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Trà Vinh","L: 33TV49","20241206","giai3","79536","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Trà Vinh","L: 33TV49","20241206","giai3","43209","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Trà Vinh","L: 33TV49","20241206","giai2","96962","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Trà Vinh","L: 33TV49","20241206","giai1","68002","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
"Trà Vinh","L: 33TV49","20241206","giaidb","540348","2024-12-06 22:39:32","2024-12-06 22:39:32","YourCreatedBy","YourUpdatedBy"
